Startdatum,Starttid,Slutdatum,Sluttid,Subject,Description,Location,Private
2024-10-07,15:15,2024-10-07,17:00,TDDE23 Laboration (SU02),Information till student: <br/>Lokal: SU02<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: ,,True
2024-10-07,15:15,2024-10-07,17:00,TDDE23 Laboration (SU03),Information till student: <br/>Lokal: SU03<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 3<br/>Lärare: ,,True
2024-10-07,23:45,2024-10-08,00:00,"TDDD70,TDDD84,TDDD91 Inlämning ⓘ","Information till student: Deadline inlämning i Lisam senast kl. 23:59<br/>Lokal: <br/>Studentgrupp: D1,D2,D3,U1,U2,U3<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-08,10:15,2024-10-08,12:00,TATA65 Lektion (SH62),Information till student: <br/>Lokal: SH62<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
2024-10-08,13:15,2024-10-08,15:00,TDDE23 Föreläsning (C2),"Information till student: <br/>Lokal: C2<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Jonas Kvarnström",,True
2024-10-08,15:15,2024-10-08,17:00,TDDE23 Seminarium (U10),"Information till student: <br/>Lokal: U10<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-08,15:15,2024-10-08,17:00,TDDE23 Seminarium (U11),"Information till student: <br/>Lokal: U11<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-08,15:15,2024-10-08,17:00,TDDE23 Seminarium (U14),"Information till student: <br/>Lokal: U14<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-08,15:15,2024-10-08,17:00,TDDE23 Seminarium (U15),"Information till student: <br/>Lokal: U15<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-08,15:15,2024-10-08,17:00,TDDE23 Seminarium (U3),"Information till student: <br/>Lokal: U3<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-09,08:15,2024-10-09,10:00,TDDE25 Föreläsning (C2),"Information till student: <br/>Lokal: C2<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Anders Jidesjö",,True
2024-10-09,13:15,2024-10-09,15:00,TATA65 Lektion (KY31),Information till student: <br/>Lokal: KY31<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
2024-10-10,13:15,2024-10-10,15:00,TDDE23 Laboration (SU15/16),"Information till student: <br/>Lokal: SU15/16<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2,Grupp 4<br/>Lärare: ",,True
2024-10-10,15:15,2024-10-10,17:00,TDDE23 Laboration (SU00),Information till student: <br/>Lokal: SU00<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: ,,True
2024-10-10,15:15,2024-10-10,17:00,TDDE23 Laboration (SU01),Information till student: <br/>Lokal: SU01<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 3<br/>Lärare: ,,True
2024-10-11,08:15,2024-10-11,10:00,TATA65 Mentorsmöte (R35),Information till student: <br/>Lokal: R35<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: Elias Johansson,,True
2024-10-11,08:15,2024-10-11,10:00,TATA65 Mentorsmöte (S11),Information till student: <br/>Lokal: S11<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: Shayan Kharaghani,,True
2024-10-11,13:15,2024-10-11,15:00,TDDE25 Föreläsning (C2),"Information till student: <br/>Lokal: C2<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Fredrik Heintz",,True
2024-10-14,08:15,2024-10-14,10:00,TDDE25 Föreläsning (VAL1),"Information till student: <br/>Lokal: VAL1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Cyrille Berger,Daniel de Leng",,True
